"trial","ref_position","var_area","response","correct","rt"
1,"L",11.5786653978284,"R",TRUE,4.47699999809265
2,"L",13.429701132467,"R",TRUE,2.11199998855591
3,"L",13.3733137131203,"R",TRUE,2.31599998474121
4,"R",9.50048805796541,"L",TRUE,2.53900003433228
5,"L",10.0192734266166,"R",TRUE,1.78199982643127
6,"L",8.49627403821796,"L",TRUE,2.33299994468689
7,"L",11.9226004721131,"R",TRUE,1.66699981689453
8,"R",9.63174752425402,"R",FALSE,1.69900012016296
9,"L",11.67485500779,"R",TRUE,1.79999995231628
10,"R",9.24280205997638,"R",FALSE,1.44799995422363
11,"R",9.51148413610645,"L",TRUE,1.25600004196167
12,"L",9.40485307388008,"R",TRUE,1.34799981117249
13,"R",8.53447859664448,"R",TRUE,1.8769998550415
14,"R",14.6165848565288,"L",TRUE,2.09999990463257
15,"L",12.4971739838365,"L",FALSE,1.35599994659424
16,"R",11.6057622879744,"L",TRUE,1.91400003433228
17,"L",10.539016766008,"R",TRUE,1.78999996185303
18,"L",9.83661985583603,"L",FALSE,1.25999999046326
19,"L",8.57206953479908,"R",FALSE,2.33999991416931
20,"R",11.1258528847247,"L",TRUE,1.23799991607666
